SITE|FECHA|SEGMENTO|SENT_TG|SENT_CG|INSTALLS_TG|INSTALLS_CG|GASTO_TG|INSTALL_TOUCH|BUYERS_2D|BUYERS_5D|BUYERS_30D|GMV INSTALL|REVENUE|TC|GMV_INC_30D|REVENUE_INC_30D|FREQ_INC_30D|SENT_MAIL|SENT_CAMP|OPEN_MAIL|OPEN_CAMP
MLM|2021-01-04|MEDIO|317944.0|50000.0|2982.0|234.0|3177.4913460000002|1770.0|948|1067.0|1282.0|34450.68|3789.5748|19.8457|51505.542180000004|5505.499825|1505.793147|122808.0|269570.0|16128.0|3173.0
MLM|2021-01-04|BAJO|332923.0|50000.0|2353.0|185.0|4640.803801|1412.0|851|940.0|1072.0|31787.3|3496.603|19.8457|50094.4209|5276.5419999999995|1373.250558|117564.0|281167.0|12749.0|2355.0
MLM|2021-01-11|ALTO|381298.0|50000.0|1681.0|180.0|0.0|935.0|456|554.0|777.0|29989.5|3298.845|19.9705|46998.01394|5169.7815329999985|912.7967219000001|132858.0|322009.0|15337.0|1376.0
MLM|2021-01-11|MEDIO|310190.0|50000.0|2176.0|183.0|5.007385894|1312.0|519|644.0|904.0|30115.86|3312.7446|19.9705|50956.747189999995|5604.991452|1132.108297|116924.0|262848.0|13921.0|2764.0
MLM|2021-01-11|BAJO|322449.0|50000.0|2012.0|175.0|4020.968428|1317.0|743|811.0|949.0|27163.35|2987.9685|19.9705|40267.29094|4228.056598|1172.031908|114149.0|272300.0|11554.0|2116.0
MCO|2021-01-05|ALTO|197587.0|50000.0|689.0|150.0|0.0|360.0|138|163.0|233.0|6515.02|664.53204|3420.7916|6788.6669310000025|692.357801|240.3850518|78177.0|168070.0|8809.0|334.0
MCO|2021-01-05|MEDIO|126668.0|50000.0|683.0|130.0|540.2258353999998|420.0|210|239.0|276.0|4522.47|461.29194|3420.7916|6788.6669310000025|692.357801|240.3850518|51147.0|107680.0|6035.0|579.0
MCO|2021-01-05|BAJO|105442.0|50000.0|417.0|88.0|344.6570671|240.0|112|122.0|144.0|2786.95|284.2689|3420.7916|6788.6669310000025|692.357801|240.3850518|42750.0|89495.0|4022.0|296.0
MLA|2021-01-05|ALTO|471065.0|50000.0|1942.0|183.0|0.0|1092.0|384|483.0|791.0|33506.59|3183.12605|84.81|55116.170079999996|5236.036157000001|691.2286948|154239.0|436510.0|13228.0|1735.0
MLA|2021-01-05|MEDIO|367539.0|50000.0|2518.0|148.0|1262.82278|1625.0|717|814.0|1063.0|40774.03|3873.53285|84.81|53186.10831|5037.790268|1093.0825960000002|157810.0|343298.0|17793.0|3805.0
MLA|2021-01-05|BAJO|394433.0|50000.0|2416.0|127.0|1939.225209|1567.0|675|737.0|944.0|31609.07|3002.86165|84.81|42647.75163|4028.670879|963.6648197000001|133037.0|369116.0|14089.0|3390.0
MLA|2021-01-12|ALTO|479308.0|50000.0|1627.0|147.0|0.0|919.0|293|396.0|667.0|28163.1|2675.4945|85.47|36019.43551|3421.846374|518.2771397|148267.0|411043.0|13486.0|1564.0
MLA|2021-01-12|MEDIO|372266.0|50000.0|2124.0|145.0|1842.7503219999999|1445.0|736|805.0|1023.0|34309.61|3259.41295|85.47|44943.66849|4248.0883060000015|1065.055083|160807.0|347676.0|17491.0|3399.0
MLA|2021-01-12|BAJO|395514.0|50000.0|2153.0|106.0|2873.770914|1431.0|710|771.0|927.0|33872.78|3217.9141|85.47|43120.0089|4062.777692|994.2835732000001|136831.0|369871.0|15044.0|3207.0
MLA|2020-12-22|ALTO|455267.0|50000.0|1503.0|166.0|0.0|863.0|370||660.0|31055.41|2950.26395|83.25|45255.10477|4299.234953|559.7306176|145925.0|422045.0|8602.0|1147.0
MLA|2020-12-22|MEDIO|346269.0|50000.0|1861.0|134.0|1387.332372|1200.0|591||819.0|23930.87|2273.43265|83.25|31841.780730000002|3008.304516|844.2242822000003|142513.0|323284.0|10188.0|2793.0
MLA|2020-12-22|BAJO|368636.0|50000.0|1814.0|119.0|2270.208889|1162.0|584||770.0|24694.95|2346.02025|83.25|33432.121569999996|3148.781773|816.7477732000001|119120.0|344291.0|8556.0|2645.0
MLC|2021-01-18|ALTO|131359.0|50000.0|585.0|174.0|0.0|317.0|152|184.0|253.0|10897.89|871.8312|735.0617|16236.433180000002|1298.403225|311.4687588999999|61935.0|111427.0|5712.0|175.0
MLC|2021-01-18|MEDIO|110710.0|50000.0|568.0|174.0|359.1535241|333.0|182|208.0|250.0|9123.89|729.9112|735.0617|16236.433180000002|1298.403225|311.4687588999999|45248.0|94092.0|4580.0|377.0
MLC|2021-01-18|BAJO|116563.0|50000.0|585.0|127.0|768.6429588|345.0|207|216.0|258.0|10989.71|879.1768|735.0617|16236.433180000002|1298.403225|311.4687588999999|49105.0|98590.0|4707.0|371.0
MLM|2021-01-18|ALTO|376287.0|50000.0|1612.0|217.0|0.0|896.0|401|516.0|717.0|29258.49|3218.4339|19.757|37543.2118|4129.753298|807.8121919|104921.0|263111.0|10747.0|1417.0
MLM|2021-01-18|MEDIO|303039.0|50000.0|2192.0|194.0|0.0|1326.0|565|682.0|908.0|26895.75|2958.5325|19.757|45360.698469999996|4989.676831000002|1117.793158|113122.0|256632.0|10939.0|2658.0
MLM|2021-01-18|BAJO|311704.0|50000.0|2006.0|154.0|797.1858076000003|1193.0|481|581.0|754.0|22032.1|2423.531|19.757|37251.42799|4057.307542|955.0114235|108291.0|262469.0|9112.0|2198.0
MCO|2021-01-19|ALTO|196028.0|50000.0|525.0|134.0|0.0|263.0|100|125.0|167.0|4409.83|449.80265999999995|3466.8053|4268.360347|435.30835599999995|173.8940721|77536.0|166584.0|7960.0|423.0
MCO|2021-01-19|MEDIO|120220.0|50000.0|489.0|84.0|436.13640489999995|339.0|177|193.0|228.0|3964.28|404.35656|3466.8053|4268.360347|435.30835599999995|173.8940721|47954.0|102215.0|4783.0|482.0
MCO|2021-01-19|BAJO|99364.0|50000.0|326.0|97.0|233.6445026|186.0|80|100.0|117.0|1728.43|176.29986|3466.8053|4268.360347|435.30835599999995|173.8940721|40772.0|84299.0|3398.0|265.0
MLA|2021-01-19|ALTO|467663.0|50000.0|1458.0|139.0|0.0|845.0|289|374.0|613.0|27610.28|2622.9766|86.21|35802.97064|3401.2822109999997|441.7591752|154352.0|432931.0|11119.0|2581.0
MLA|2021-01-19|MEDIO|363520.0|50000.0|1793.0|142.0|1323.512354|1178.0|569|639.0|808.0|30744.9|2920.7655|86.21|41666.35642|3942.9516689999996|860.6027412999997|156917.0|339201.0|13879.0|2936.0
MLA|2021-01-19|BAJO|375658.0|50000.0|1693.0|105.0|2098.4668829999996|1059.0|533|584.0|704.0|27388.55|2601.91225|86.21|39039.04937|3684.3683509999996|792.5700632|126271.0|351157.0|9947.0|2451.0
MLA|2021-02-23|ALTO|452084.0|79779.0|1393.0|208.0|0.0|809.0|282|344.0|599.0|25525.26|2424.8997|89.53|41057.9929|3900.509325|517.2142955|145738.0|417351.0|13541.0|1056.0
MLA|2021-02-23|MEDIO|350886.0|61921.0|2054.0|124.0|1371.857813|1305.0|570|643.0|854.0|26698.24|2536.3328|89.53|36218.85946|3425.468764|863.8136078|143272.0|327129.0|15849.0|2889.0
MLA|2021-02-23|BAJO|359233.0|63394.0|2132.0|138.0|2389.815257|1373.0|610|672.0|861.0|23828.71|2263.72745|89.53|39666.36795|3741.612057|910.5941367|120533.0|335891.0|13621.0|2753.0
